"Data","Pred_sem pandemia","s.e sem pandemia","Pred com pandemia","s.e com pandemia","Valor real"
2023-06-20,"-0.00010144580328168","0.0241119822327872","0.00035547421791989","0.0905932448165125","0"
2023-06-20,"-0.00010152714661045","0.0241095719781307","0.00035547421852476","0.0905932448636539","0"
2023-06-22,"-0.00010157829608364","0.0241156576783831","0.00075165290116232","0.0905758692917277","0"
2023-06-23,"-0.00010154496987705","0.0241138896141349","0.00075048924792878","0.0905585053129454","0.00416669591709495"
2023-06-23,"-0.00010168500118234","0.024107595196897","0.00075048924769571","0.0905585053561372","0.00416669591709495"
2023-06-27,"-0.00010152714661045","0.0241095719781307","0.00105183540410435","0.0905411682555692","0.0262793992696015"
2023-06-28,"-0.00010162503672292","0.0241084150620655","0.00265900372376328","0.0905251273792933","0.024258736723427"
2023-06-30,"-0.00010155546956488","0.024112362248432","0.00253157415922129","0.0905087424631737","-0.0026315764707211"
2023-06-30,"-0.00010144304393413","0.0241183121123037","0.00253157415280207","0.090508742464748","-0.0026315764707211"
2023-07-03,"-0.00010142431157807","0.024115444343503","0.00135832845661898","0.0904914677122161","-0.00783289085832184"
2023-07-04,"-0.00010151556441319","0.0241122219371032","0.00097047674261159","0.0904571675547684","0.0263158274489432"
2023-07-05,"-0.00010158136956434","0.024112923419042","0.00269063632580519","0.0904411850253042","-0.00256410005608343"
2023-07-06,"-0.0001014684547506","0.0241164896964534","0.00060983095683628","0.0904239645269691","-0.00771213598954101"
2023-07-07,"-0.00010155282910144","0.0241117494303028","0.00023291941644251","0.0904068474416853","0.00906737999530938"
2023-07-10,"-0.00010152512413409","0.0241120431997449","0.00144501238724424","0.0903897294767146","0.0007702236188769"
2023-07-11,"-0.00010154149643213","0.0241127140876425","0.00084742278452118","0.0903724737806243","0.0415597590541106"
2023-07-12,"-0.00010152059552548","0.0241135739505625","0.00380845166035362","0.0903586534493804","0.00184733294755723"
2023-07-13,"-0.00010150044149496","0.0241160225242798","0.00095156561175962","0.0903414261579076","0.0175783214535332"
2023-07-14,"-0.00010162503672292","0.0241084150620655","0.00209374544389067","0.0903247509896508","-0.00906013655123339"
2023-07-17,"-0.0001014402458386","0.0241191021099222","0.00016974178697557","0.0903078138898358","0.00694869678656063"
2023-07-18,"-0.0001015709819546","0.0241118062662072","0.00132452565680249","0.0902906892701009","-0.00484261025964183"
2023-07-19,"-0.0001015302748783","0.0241155534343956","0.00047316559267852","0.0902735809132904","-0.0158150985666461"
2023-07-20,"-0.00010161159672615","0.0241109373328427","-0.00032740081632563","0.0902569792702991","-0.00135966370308549"
2023-07-21,"-0.00010158624870121","0.0241167666382716","0.00070916369970878","0.0902398036610796","-0.0295829070975604"
2023-07-24,"-0.00010150923960547","0.0241160354899671","-0.0013414747882843","0.09022461903477","-0.0279337162303201"
2023-07-25,"-0.00010161886902473","0.0241131097594821","-0.0012436659192955","0.0902089938239086","0.00774176836450358"
2023-07-26,"-0.0001015806764057","0.0241127405322477","0.00132767406872569","0.0901919972965386","0.00260416424134746"
2023-07-27,"-0.00010160821804973","0.0241156344515632","0.00095855888594094","0.0901748570608782","0.00129873105578571"
2023-07-28,"-0.00010152359214768","0.0241120761995898","0.00086430944638016","0.0901577249737844","-0.0142672027198643"
2023-07-31,"-0.00010147584629938","0.0241118960839127","-0.00026621001506031","0.0901411099745851","0.0565789254913698"
2023-08-01,"-0.00010157456889847","0.0241155940783198","0.00486508845195912","0.0901307012557399","0.0026151817117801"
2023-08-02,"-0.00010153333695382","0.0241166837768762","0.00098478946595339","0.0901136115688333","0.0309279046586239"
2023-08-03,"-0.00010146875122982","0.0241144318338284","0.00303993039294663","0.0900983510053803","0.0180722427811164"
2023-08-04,"-0.00010158941055036","0.0241098903499823","0.00212631365784805","0.0900817152774304","0.00603557351999617"
2023-08-07,"-0.00010157829608364","0.0241156576783831","0.00126325920579913","0.090064665306028","-0.0118810470560453"
2023-08-08,"-0.00010157866009918","0.0241106659661983","0.00126325919841028","0.0900646653307007","-0.00141160844048283"
2023-08-09,"-0.00010148719564217","0.0241134496511456","0.00158786505898902","0.090031149210071","0.00706790713600913"
2023-08-10,"-0.00010153333695382","0.0241166837768762","0.0013375410802553","0.0900141562545123","-0.00807114818865462"
2023-08-11,"-0.00010139747753459","0.0241192832955506","0.00024228140538714","0.0899973228642792","-0.00471697688824146"
2023-08-14,"-0.00010141841557853","0.0241161099339007","0.00047921849400259","0.089980356774869","-0.00236960960707144"
2023-08-14,"-0.00010152359214768","0.0241120761995898","0.0004792184870033","0.0899803567894082","-0.00236960960707144"
2023-08-16,"-0.00010154375116895","0.0241115182940935","0.00064529684773739","0.0899633618098224","-0.00961999136936076"
2023-08-18,"-0.00010154876609843","0.0241127401788601","-0.00049833781144466","0.0899303166082099","-0.014531741725574"
2023-08-21,"-0.00010153767428397","0.0241114646067745","-0.00026048602533805","0.0899137664579442","0.00991324990475073"
2023-08-22,"-0.00010152021172873","0.0241179406074199","0.00150336531679363","0.0898969868761366","0"
2023-08-23,"-0.00010150841256536","0.0241147635575534","0.00078905846651413","0.0898800248820953","0.00368106601837104"
2023-08-24,"-0.00010128794813336","0.0241144143177112","0.00105502637673326","0.0898630776482281","-0.0183374775804934"
2023-08-25,"-0.00010139273350284","0.0241168622447403","-0.00054171912849642","0.0898469499031401","0.00871739113652925"
2023-08-28,"-0.00010152053401731","0.024114873360464","0.00140871915229652","0.0898301727850877","-0.0123457255259514"
2023-08-29,"-0.00010148263380033","0.02411097127511","-0.00011523455544545","0.0898136618239047","0.00012505054473877"
